,Gene Name,#PE = 1,#PE = 2,#PE = 3,#PE = 4,#PE = 5
159,LOC100518800 ,0,0,0,1,0
160,ZHX1 ,0,0,1,0,0
161,CHMP4A ,0,0,1,0,0
162,PCNX2 ,0,0,1,0,0
163,LMCD1 ,6,1,0,0,0
164,DPH5 ,1,0,0,0,0
165,A1CF ,2,0,0,0,0
166,MRPS25 ,3,0,0,0,0
167,TMTC4 ,6,0,0,0,0
168,PNMA5 ,0,0,0,1,0
169,FSTL4 ,0,0,0,1,0
170,COX6B2 ,0,0,1,0,0
171,LOC100523232 ,0,0,1,0,0
172,IFFO2 ,0,0,0,2,0
173,CD300A ,0,0,0,1,0
174,NEUROG3 ,0,0,0,1,0
175,NLE1 ,5,0,0,0,0
176,NIPA2 ,0,1,1,0,0
177,P2RX6 ,0,0,2,0,0
178,C22ORF31 ,0,0,0,1,0
179,SNX29 ,0,0,0,3,0
180,CTTN ,5,0,0,1,0
181,PRKAR1B ,0,0,4,0,0
182,NAGS ,0,0,0,1,0
183,TECPR2 ,0,0,0,1,0
184,MYOZ3 ,3,0,0,0,0
185,DGKI ,0,0,8,0,0
186,ANGPTL8 ,0,1,0,0,0
187,LOC100739218 ,5,0,0,0,0
188,RNF34 ,0,0,0,2,0
189,LCN12 ,0,0,1,0,0
190,LOC110257929 ,0,0,0,1,0
191,EPOP ,0,0,0,1,0
192,UAP1L1 ,0,0,0,1,0
193,ZNF609 ,0,0,0,2,0
194,SPACA5 ,0,1,0,0,0
195,CTSA ,2,0,1,0,0
196,DUSP18 ,0,0,0,1,0
197,MYRIP ,0,0,0,4,0
198,FAM3B ,0,0,2,0,0
199,LOC110255251 ,0,0,0,1,0
200,COL27A1 ,0,0,0,2,0
201,NR2E3 ,2,0,0,0,0
202,CYP4A21 ,1,0,0,0,0
203,LRRC40 ,3,0,0,0,0
204,PHF6 ,4,0,0,0,0
205,DIS3L2 ,0,0,7,0,0
206,COG2 ,1,0,0,0,0
207,TMEM134 ,0,0,2,0,0
208,SLC6A20 ,0,0,4,0,0
209,AURKB ,0,1,2,0,0
210,ABHD16B ,0,0,0,1,0
211,FGFR4 ,0,0,2,0,0
212,PNPT1 ,3,0,0,0,0
213,FCAR ,0,0,0,1,0
214,SIDT1 ,0,0,2,0,0
215,USP35 ,0,0,0,1,0
216,ABHD2 ,0,0,2,0,0
217,TRIM21 ,0,0,0,3,0
218,IVL ,0,1,0,1,0
219,KCNC4 ,0,0,0,1,0
220,NT5DC4 ,0,0,1,0,0
221,SLAMF6 ,0,0,0,1,0
222,TAS1R1 ,0,0,0,2,0
223,GPR179 ,0,0,1,0,0
224,PTCHD1 ,0,0,0,1,0
225,SYT3 ,0,0,0,1,0
226,CRAMP1 ,0,0,0,3,0
227,GNAO1 ,2,0,0,1,0
228,TGM1 ,0,0,1,0,0
229,GRIN3B ,0,0,2,0,0
230,NDUFA13 ,2,0,0,0,0
231,NECAP2 ,4,0,0,0,0
232,LOC110259002 ,0,0,0,1,0
233,MRPS12 ,0,0,2,0,0
234,TRA2A ,3,0,0,0,0
235,SURF1 ,0,0,2,0,0
236,LAMC2 ,0,0,0,2,0
237,NUP210L ,0,0,2,0,0
238,LTBP4 ,2,0,0,0,0
239,CRCP ,0,0,4,0,0
240,TRMT10C ,0,0,0,2,0
241,OR51M1 ,0,0,1,0,0
242,STXBP2 ,5,1,0,0,0
243,LOC110259472 ,0,0,1,0,0
244,RTN4 ,7,0,0,0,0
245,LOC100524499 ,0,0,0,2,0
246,TMEM236 ,1,0,0,0,0
247,GPR45 ,0,0,0,1,0
248,LOC100513947 ,0,0,0,1,0
249,SYNPR ,6,0,0,1,0
250,LOC100521430 ,0,0,1,0,0
251,KPNA7 ,0,1,3,0,0
252,CST7 ,0,0,0,1,0
253,BTC ,0,0,0,3,0
254,EIF2S1 ,2,0,0,0,0
255,RSRC1 ,0,0,0,5,0
256,ACOX1 ,4,0,0,0,0
257,RDH11 ,1,0,0,0,0
258,RXFP3 ,0,0,0,1,0
259,MED30 ,0,0,4,0,0
260,SLC35D3 ,0,0,0,1,0
261,EPG5 ,0,0,1,0,0
262,CKAP4 ,1,0,0,0,0
263,ABCG8 ,0,0,3,0,0
264,PHETA2 ,0,0,0,1,0
265,PHKG1 ,1,0,0,0,0
266,PRCP ,2,0,0,0,0
267,GLB1L ,0,0,2,0,0
268,GM2A ,2,0,0,0,0
269,CEP85L ,0,0,0,2,0
270,SLC5A4 ,0,1,1,0,0
271,RPL14 ,1,0,2,0,0
272,MLIP ,9,0,0,0,0
273,GPHB5 ,0,0,1,0,0
274,EMB ,0,0,0,2,0
275,IL1B ,1,0,6,0,0
276,CFAP97 ,0,0,1,0,0
277,RCOR1 ,0,0,0,1,0
278,RUVBL1 ,2,0,0,0,0
279,CARNS1 ,3,0,0,0,0
280,ZDHHC5 ,1,0,0,0,0
281,TMEM150A ,0,0,4,0,0
282,PWWP3A ,0,0,4,0,0
283,CCDC121 ,0,0,0,1,0
284,USP14 ,5,0,0,0,0
285,MED23 ,4,0,1,0,0
286,PLPPR1 ,0,0,2,0,0
287,PIK3C2B ,0,0,1,0,0
288,NICN1 ,0,0,0,2,0
289,LOC110256121 ,0,0,0,1,0
290,P2RY10 ,0,0,0,1,0
291,EIF4G1 ,5,0,0,0,0
292,MICOS10 ,1,0,0,0,0
293,ETFRF1 ,0,0,0,1,0
294,LOC100520991 ,0,0,1,0,0
